1212.25,17.81
448.4,0.266
358.72,8.68
306.8,12.09
205.61,24.74
195.88,26.84
186.2,29.14
147.33,42.08
131.84,49.82
44.96,31.7
103.04,30.8
32.69,32.3
62.02,31.9
12.47,42.9
39.3,24.7
15.67,38.2
38.12,32
5600,6.36
1100,10.07
800,12.03
380,13.47
160,17.62
100,19.91
58,24.25
40,26.45
31,28.71
21,30.96
19,36.82
18,35.14
16,37.05
16,37.86
17,43.11
15,45.7
15,52.78
15,56.09
14,60.97
78,45
275,48
26,50
349,49
98,52
475,66
1094,51.5
893,52
393,50.2
110,50.5
766,71.5
122,51
26,54
282,55
112,51
18,54
181,55
34.37,13.5
34.37,43.39
34.37,22.1
34.37,15.9
44.27,21.3
69.66,18.6
85,10.1
355,60
750,33
860,26
945,25
695,23
66.5,22
94,13
775,27
610,21
835,25
97,21
61,21
55,24
75,27
128.5,26
150,27
340,37
255,11
210,15
131.5,13
260,20
178.5,15
103,19
97,18
64,22
127.5,22
177.5,21
172.5,10
100,28
38,16
32,14
11.5,5
9,8.5
33,24
178,23
178,20
299.5,18
530,21
325,19
490,15
155.5,21
3,9
2,9
1,8
0,5.5
0,0
13,18
16,13
0.5,0
0.5,0
0,0
64,47
27,41
0,0
0,0
155.5,13
144.5,60
92,35
144.5,39
102.5,19
35.5,15
66.5,38
111,30
122,19
72.5,18
225,18
245,15
116.5,26
75,20
69.5,13
61.5,6.5
19.5,2.9
16,2.6
144.5,20
183.5,15
1.885,30
11.2762,30
3.3091,70
23.2897,35
5.3617,70
51.6059,35
